name,value,tipo
Odetti,2,citado
Comenio,8,citado
Hassoun,2,citado
Tarcus,2,citado
Torre,2,citado
Garzón Maceda,2,citado
Varela,2,citado
"Andrada, Kisbye y Campagnolo",2,citado
Canal encuentro,2,citado
Cagliero y equipos de producción del ISEP,2,citado
Block Sevilla,3,citado
"Andrada, Cagliero y equipos de producción del ISEP",5,citado
Seoane y Seoane,5,citado
Maldonado y Campagnolo,2,citado
Meek,2,citado
Solé,2,citado
Flowers,2,citado
Giménez,2,citado
ScardamaliayBereiter,2,citado
Vich y Zavala,2,citado
"Turner, R",3,citado
"Banchoff, C",3,citado
"Bebea, I",3,citado
"Marradi, Archenti y Piovani",3,citado
"Hernández Sampieri, Fernández Collado y Baptista Lucio",2,citado
Horkheimer,3,citado
Berelson,2,citado
García-Jiménez,2,citado
Lowental,2,citado
Lévi-Strauss,2,citado
Adorno,2,citado
Foucault|Hall,2,citado
Williams,2,citado
Dos Santos,2,citado
Marques de Melo,2,citado
Pasquali,2,citado
Muraro,2,citado
Esteinou Madrid,2,citado
Mattelart,2,citado
Schmucler,2,citado
Fox de Cardona,2,citado
Mosco,2,citado
Shcmucler,2,citado
Barbero,2,citado
Orozco Gomez,2,citado
García Canclini,2,citado
Bustamante,2,citado
Mastrini y Becerra,2,citado
Szurmuk e Irwin,2,citado
Zuboff,2,citado
Torrico Villanueva,2,citado
"Marradi,Archenti,Piovani",3,citado
"Sautu,Boniolo,Dalle,Elbert",3,citado
Sautu,4,citado
Rojas Soriano,2,citado
"De Jesús, Andrades & Martínez y Méndez",2,citado
Buenfil,2,citado
Pievi,2,citado
Convención Internacional sobre los Derechos de las Personas con Discapacidad,2,citado
"Chevallard, Yves",2,citado
RAE,2,citado
CILE,2,citado
Emilia Ferreiro,2,citado
Michael Halliday,2,citado
Saussure,2,citado
Bourdieu,2,citado
Vigotsky,2,citado
Coseriu,2,citado
Benveniste,2,citado
Wellek,2,citado
Warren,2,citado
Ludmer,3,citado
Oyuela,2,citado
Giusti,2,citado
Zelmanovich,2,citado
Eloísa Solaas,3,citado
Jorge Larrosa,3,citado
Ángel Díaz Barriga,3,citado
Camilloni,3,citado
Blanca Trujillo,3,citado
Maite Alvarado,3,citado
